id,crime_type,date,time,latitude,longitude,area,severity
66,Theft,2024-03-16,18:30,19.2183,72.9781,Borivali,Low
67,Assault,2024-03-17,19:00,19.0760,72.8777,South Mumbai,High
68,Cybercrime,2024-03-18,09:30,19.1619,72.8298,Colaba,Medium
69,Robbery,2024-03-19,20:45,19.0527,72.8286,Worli,Medium
70,Assault,2024-03-20,23:15,19.2183,72.8397,Bandra,High
71,Burglary,2024-03-21,03:45,19.1670,72.8289,Dadar,High
72,Murder,2024-03-22,01:15,19.2806,72.8628,Andheri,High
73,Theft,2024-03-23,17:45,19.1136,72.8697,Fort,Low
74,Robbery,2024-03-24,21:00,19.0760,72.8777,South Mumbai,Medium
75,Assault,2024-03-25,20:30,19.1619,72.8298,Colaba,High
76,Cybercrime,2024-03-26,11:20,19.2183,72.9781,Borivali,Medium
77,Burglary,2024-03-27,04:00,19.0527,72.8286,Worli,High
78,Theft,2024-03-28,16:15,19.2183,72.8397,Bandra,Low
79,Murder,2024-03-29,02:30,19.1670,72.8289,Dadar,High
80,Robbery,2024-03-30,19:45,19.2806,72.8628,Andheri,Medium
81,Assault,2024-03-31,21:15,19.1136,72.8697,Fort,High
82,Burglary,2024-04-01,03:30,19.0760,72.8777,South Mumbai,High
83,Theft,2024-04-02,18:00,19.1619,72.8298,Colaba,Low
84,Cybercrime,2024-04-03,10:45,19.0527,72.8286,Worli,Medium
85,Robbery,2024-04-04,20:20,19.2183,72.8397,Bandra,Medium
86,Assault,2024-04-05,22:00,19.1670,72.8289,Dadar,High
87,Murder,2024-04-06,01:45,19.2183,72.9781,Borivali,High
88,Burglary,2024-04-07,02:15,19.2806,72.8628,Andheri,High
89,Theft,2024-04-08,17:30,19.1136,72.8697,Fort,Low
90,Robbery,2024-04-09,21:00,19.0760,72.8777,South Mumbai,Medium
91,Assault,2024-04-10,20:45,19.1619,72.8298,Colaba,High
92,Cybercrime,2024-04-11,09:15,19.0527,72.8286,Worli,Medium
93,Burglary,2024-04-12,04:30,19.2183,72.8397,Bandra,High
94,Theft,2024-04-13,16:45,19.1670,72.8289,Dadar,Low
95,Murder,2024-04-14,00:30,19.2806,72.8628,Andheri,High
96,Robbery,2024-04-15,19:15,19.2183,72.9781,Borivali,Medium
97,Assault,2024-04-16,21:30,19.1136,72.8697,Fort,High
98,Burglary,2024-04-17,03:00,19.0760,72.8777,South Mumbai,High
99,Theft,2024-04-18,18:15,19.1619,72.8298,Colaba,Low
100,Cybercrime,2024-04-19,11:00,19.0527,72.8286,Worli,Medium
101,Robbery,2024-04-20,20:45,19.2183,72.8397,Bandra,Medium
102,Assault,2024-04-21,23:30,19.1670,72.8289,Dadar,High
103,Murder,2024-04-22,02:00,19.2806,72.8628,Andheri,High
104,Burglary,2024-04-23,03:45,19.1136,72.8697,Fort,High
105,Theft,2024-04-24,17:00,19.2183,72.9781,Borivali,Low
106,Robbery,2024-04-25,20:30,19.0760,72.8777,South Mumbai,Medium
107,Assault,2024-04-26,21:00,19.1619,72.8298,Colaba,High
108,Cybercrime,2024-04-27,10:30,19.0527,72.8286,Worli,Medium
109,Burglary,2024-04-28,04:15,19.2183,72.8397,Bandra,High
110,Theft,2024-04-29,16:30,19.1670,72.8289,Dadar,Low
111,Murder,2024-04-30,01:30,19.2806,72.8628,Andheri,High
112,Robbery,2024-05-01,20:00,19.2183,72.9781,Borivali,Medium
113,Assault,2024-05-02,22:15,19.1136,72.8697,Fort,High
114,Burglary,2024-05-03,02:30,19.0760,72.8777,South Mumbai,High
115,Theft,2024-05-04,18:45,19.1619,72.8298,Colaba,Low
116,Cybercrime,2024-05-05,11:30,19.0527,72.8286,Worli,Medium
117,Robbery,2024-05-06,21:15,19.2183,72.8397,Bandra,Medium
118,Assault,2024-05-07,20:45,19.1670,72.8289,Dadar,High
119,Murder,2024-05-08,00:15,19.2806,72.8628,Andheri,High
120,Burglary,2024-05-09,03:00,19.1136,72.8697,Fort,High
121,Theft,2024-05-10,17:15,19.2183,72.9781,Borivali,Low
122,Robbery,2024-05-11,20:30,19.0760,72.8777,South Mumbai,Medium
123,Assault,2024-05-12,21:45,19.1619,72.8298,Colaba,High
124,Cybercrime,2024-05-13,09:45,19.0527,72.8286,Worli,Medium
125,Burglary,2024-05-14,04:45,19.2183,72.8397,Bandra,High
126,Theft,2024-05-15,16:00,19.1670,72.8289,Dadar,Low
127,Murder,2024-05-16,02:15,19.2806,72.8628,Andheri,High
128,Robbery,2024-05-17,19:30,19.1136,72.8697,Fort,Medium
129,Assault,2024-05-18,23:00,19.0760,72.8777,South Mumbai,High
130,Burglary,2024-05-19,03:15,19.1619,72.8298,Colaba,High
131,Theft,2024-05-20,18:30,19.2183,72.9781,Borivali,Low
132,Cybercrime,2024-05-21,10:15,19.0527,72.8286,Worli,Medium
133,Robbery,2024-05-22,20:45,19.2183,72.8397,Bandra,Medium
134,Assault,2024-05-23,21:30,19.1670,72.8289,Dadar,High
135,Murder,2024-05-24,01:00,19.2806,72.8628,Andheri,High
136,Burglary,2024-05-25,02:45,19.1136,72.8697,Fort,High
137,Theft,2024-05-26,17:45,19.0760,72.8777,South Mumbai,Low
138,Robbery,2024-05-27,20:15,19.1619,72.8298,Colaba,Medium
139,Assault,2024-05-28,22:30,19.0527,72.8286,Worli,High
140,Cybercrime,2024-05-29,11:00,19.2183,72.8397,Bandra,Medium
141,Burglary,2024-05-30,04:00,19.1670,72.8289,Dadar,High
142,Theft,2024-05-31,16:20,19.2183,72.9781,Borivali,Low
143,Murder,2024-06-01,00:45,19.2806,72.8628,Andheri,High
144,Robbery,2024-06-02,19:45,19.1136,72.8697,Fort,Medium
145,Assault,2024-06-03,21:15,19.0760,72.8777,South Mumbai,High
146,Burglary,2024-06-04,03:30,19.1619,72.8298,Colaba,High
147,Theft,2024-06-05,18:00,19.0527,72.8286,Worli,Low
148,Cybercrime,2024-06-06,10:30,19.2183,72.8397,Bandra,Medium
149,Robbery,2024-06-07,20:30,19.1670,72.8289,Dadar,Medium
150,Assault,2024-06-08,23:00,19.2806,72.8628,Andheri,High
151,Murder,2024-06-09,01:30,19.2183,72.9781,Borivali,High
152,Burglary,2024-06-10,02:15,19.1136,72.8697,Fort,High
153,Theft,2024-06-11,17:30,19.0760,72.8777,South Mumbai,Low
154,Robbery,2024-06-12,21:00,19.1619,72.8298,Colaba,Medium
155,Assault,2024-06-13,20:45,19.0527,72.8286,Worli,High
156,Cybercrime,2024-06-14,09:30,19.2183,72.8397,Bandra,Medium
157,Burglary,2024-06-15,04:30,19.1670,72.8289,Dadar,High
158,Theft,2024-06-16,16:15,19.2806,72.8628,Andheri,Low
159,Murder,2024-06-17,02:30,19.1136,72.8697,Fort,High
160,Robbery,2024-06-18,19:30,19.0760,72.8777,South Mumbai,Medium
161,Assault,2024-06-19,21:45,19.1619,72.8298,Colaba,High
162,Burglary,2024-06-20,03:00,19.2183,72.9781,Borivali,High
163,Theft,2024-06-21,18:15,19.0527,72.8286,Worli,Low
164,Cybercrime,2024-06-22,11:15,19.2183,72.8397,Bandra,Medium
165,Robbery,2024-06-23,20:45,19.1670,72.8289,Dadar,Medium
166,Assault,2024-06-24,22:15,19.2806,72.8628,Andheri,High
167,Murder,2024-06-25,00:30,19.1136,72.8697,Fort,High
168,Burglary,2024-06-26,03:45,19.0760,72.8777,South Mumbai,High
169,Theft,2024-06-27,17:00,19.1619,72.8298,Colaba,Low
170,Robbery,2024-06-28,20:15,19.0527,72.8286,Worli,Medium
171,Assault,2024-06-29,21:30,19.2183,72.8397,Bandra,High
172,Cybercrime,2024-06-30,10:00,19.1670,72.8289,Dadar,Medium
173,Murder,2024-07-01,01:15,19.2183,72.9781,Borivali,High
174,Burglary,2024-07-02,02:30,19.2806,72.8628,Andheri,High
175,Theft,2024-07-03,18:30,19.1136,72.8697,Fort,Low
176,Robbery,2024-07-04,19:45,19.0760,72.8777,South Mumbai,Medium
177,Assault,2024-07-05,23:30,19.1619,72.8298,Colaba,High
178,Cybercrime,2024-07-06,11:30,19.0527,72.8286,Worli,Medium
179,Burglary,2024-07-07,04:15,19.2183,72.8397,Bandra,High
180,Theft,2024-07-08,16:45,19.1670,72.8289,Dadar,Low
181,Murder,2024-07-09,00:45,19.2806,72.8628,Andheri,High
182,Robbery,2024-07-10,20:30,19.2183,72.9781,Borivali,Medium
183,Assault,2024-07-11,21:00,19.1136,72.8697,Fort,High
184,Burglary,2024-07-12,03:30,19.0760,72.8777,South Mumbai,High
185,Theft,2024-07-13,17:15,19.1619,72.8298,Colaba,Low
186,Robbery,2024-07-14,20:45,19.0527,72.8286,Worli,Medium
187,Assault,2024-07-15,22:45,19.2183,72.8397,Bandra,High
188,Cybercrime,2024-07-16,09:15,19.1670,72.8289,Dadar,Medium
189,Murder,2024-07-17,01:30,19.2806,72.8628,Andheri,High
190,Burglary,2024-07-18,02:15,19.2183,72.9781,Borivali,High
191,Theft,2024-07-19,18:00,19.1136,72.8697,Fort,Low
192,Robbery,2024-07-20,20:00,19.0760,72.8777,South Mumbai,Medium
193,Assault,2024-07-21,21:15,19.1619,72.8298,Colaba,High
194,Cybercrime,2024-07-22,10:45,19.0527,72.8286,Worli,Medium
195,Burglary,2024-07-23,04:45,19.2183,72.8397,Bandra,High
196,Theft,2024-07-24,16:30,19.1670,72.8289,Dadar,Low
197,Murder,2024-07-25,02:00,19.2806,72.8628,Andheri,High
198,Robbery,2024-07-26,19:30,19.1136,72.8697,Fort,Medium
199,Assault,2024-07-27,23:00,19.0760,72.8777,South Mumbai,High
200,Burglary,2024-07-28,03:15,19.1619,72.8298,Colaba,High
201,Theft,2024-07-29,17:45,19.2183,72.9781,Borivali,Low
202,Cybercrime,2024-07-30,11:20,19.0527,72.8286,Worli,Medium
203,Robbery,2024-07-31,21:30,19.2183,72.8397,Bandra,Medium
204,Assault,2024-08-01,20:15,19.1670,72.8289,Dadar,High
205,Murder,2024-08-02,00:30,19.2806,72.8628,Andheri,High
206,Burglary,2024-08-03,04:00,19.1136,72.8697,Fort,High
207,Theft,2024-08-04,18:20,19.0760,72.8777,South Mumbai,Low
208,Robbery,2024-08-05,20:45,19.1619,72.8298,Colaba,Medium
209,Assault,2024-08-06,21:45,19.0527,72.8286,Worli,High
210,Cybercrime,2024-08-07,10:30,19.2183,72.8397,Bandra,Medium
211,Burglary,2024-08-08,03:45,19.1670,72.8289,Dadar,High
212,Theft,2024-08-09,16:00,19.2183,72.9781,Borivali,Low
213,Murder,2024-08-10,01:45,19.2806,72.8628,Andheri,High
214,Robbery,2024-08-11,19:15,19.1136,72.8697,Fort,Medium
215,Assault,2024-08-12,22:30,19.0760,72.8777,South Mumbai,High
216,Burglary,2024-08-13,02:30,19.1619,72.8298,Colaba,High
217,Theft,2024-08-14,17:30,19.0527,72.8286,Worli,Low
218,Cybercrime,2024-08-15,11:00,19.2183,72.8397,Bandra,Medium
219,Robbery,2024-08-16,20:30,19.1670,72.8289,Dadar,Medium
220,Assault,2024-08-17,23:15,19.2806,72.8628,Andheri,High
